,num_docks_available,num_bikes_available,legacy_id,is_returning,station_id,is_installed,is_renting,num_ebikes_available,eightd_has_available_keys,num_docks_disabled,last_reported,num_bikes_disabled,last_update,num_scooters_unavailable,num_scooters_available
104,11,8,4815,1,00967b8f-1a4d-4131-a65a-17fa8ca89e28,1,1,1,False,0,1691630426,0,2023-08-10 01:15:11.129474,0.0,0.0
105,55,0,3233,1,66dd9fa6-0aca-11e7-82f6-3863bb44ef7c,1,1,0,False,0,1691630427,6,2023-08-10 01:15:11.129474,0.0,0.0
106,3,24,4416,1,5645b05e-85be-460d-8506-cacd20bff233,1,1,0,False,0,1691630427,2,2023-08-10 01:15:11.129474,0.0,0.0
107,3,25,3963,1,3db799ba-b574-4e5f-95e5-c767bec2acb6,1,1,0,False,0,1691630428,1,2023-08-10 01:15:11.129474,0.0,0.0
108,6,16,372,1,66dbe15d-0aca-11e7-82f6-3863bb44ef7c,1,1,3,False,1,1691630428,2,2023-08-10 01:15:11.129474,0.0,0.0
109,4,16,5048,1,2c8b263e-952c-4941-a671-ef0ebb062632,1,1,0,False,0,1691630428,1,2023-08-10 01:15:11.129474,0.0,0.0
110,18,2,4929,1,d2b23c87-b7c3-48c2-a634-db4b76ecbcf7,1,1,2,False,0,1691630427,0,2023-08-10 01:15:11.129474,0.0,0.0
111,37,10,388,1,66dbe96d-0aca-11e7-82f6-3863bb44ef7c,1,1,0,False,0,1691630429,4,2023-08-10 01:15:11.129474,0.0,0.0
112,7,22,4412,1,6969d756-33a6-4a0b-83d0-3db38bc382d1,1,1,0,False,1,1691630432,0,2023-08-10 01:15:11.129474,0.0,0.0
113,57,16,3169,1,66dd4ec7-0aca-11e7-82f6-3863bb44ef7c,1,1,6,False,0,1691630430,2,2023-08-10 01:15:11.129474,0.0,0.0
114,9,37,3115,1,66dd2060-0aca-11e7-82f6-3863bb44ef7c,1,1,9,False,0,1691630431,3,2023-08-10 01:15:11.129474,0.0,0.0
115,0,44,4593,1,59df3823-0369-4a10-8132-05df34a170af,1,1,4,False,0,1691630431,2,2023-08-10 01:15:11.129474,0.0,0.0
116,15,7,3561,1,12279d2b-29f6-4e02-a7f0-244970f7edd5,1,1,0,False,1,1691630431,3,2023-08-10 01:15:11.129474,0.0,0.0
117,26,5,3543,1,d80c274e-d17d-4a00-9b76-274c9fe4d0e1,1,1,4,False,0,1691630432,3,2023-08-10 01:15:11.129474,0.0,0.0
118,17,4,3896,1,26cae473-0e59-4af7-bad5-bb6fec85c8bc,1,1,0,False,0,1691630432,1,2023-08-10 01:15:11.129474,0.0,0.0
119,19,16,3166,1,66dd4d70-0aca-11e7-82f6-3863bb44ef7c,1,1,8,False,3,1691630429,3,2023-08-10 01:15:11.129474,0.0,0.0
