,num_docks_disabled,is_returning,is_renting,last_reported,num_docks_available,num_bikes_disabled,station_id,is_installed,station_status,eightd_has_available_keys,num_ebikes_available,num_bikes_available,legacy_id,last_update,eightd_active_station_services,valet
608,1,1671503026,3531,active,1,26,0,False,0,3531,1,0,0,2022-12-20 02:15:58.023140,,
609,1,1671503203,3532,active,1,21,6,False,0,3532,1,3,0,2022-12-20 02:15:58.023140,,
610,1,1671502258,3533,active,1,31,1,False,0,3533,1,0,0,2022-12-20 02:15:58.023140,,
611,1,1671503033,3534,active,1,28,8,False,0,3534,1,7,3,2022-12-20 02:15:58.023140,,
612,1,1671502309,3535,active,1,10,16,False,0,3535,1,4,1,2022-12-20 02:15:58.023140,,
613,1,1671501714,3536,active,1,42,0,False,0,3536,1,0,1,2022-12-20 02:15:58.023140,,
614,1,1671500117,3537,active,1,26,1,False,0,3537,1,0,2,2022-12-20 02:15:58.023140,,
615,1,1671502800,3538,active,1,41,3,False,0,3538,1,2,1,2022-12-20 02:15:58.023140,,
616,1,1671500167,3539,active,1,29,0,False,11,3539,1,0,2,2022-12-20 02:15:58.023140,,
617,1,1671503143,3540,active,1,23,11,False,0,3540,1,0,0,2022-12-20 02:15:58.023140,,
618,1,1671502963,3541,active,1,18,21,False,0,3541,1,0,0,2022-12-20 02:15:58.023140,,
619,1,1671502635,3542,active,1,29,0,False,0,3542,1,0,0,2022-12-20 02:15:58.023140,,
620,1,1671502591,3543,active,1,34,1,False,0,3543,1,1,0,2022-12-20 02:15:58.023140,,
621,1,1671501747,3544,active,1,20,6,False,0,3544,1,3,1,2022-12-20 02:15:58.023140,,
622,0,86400,3545,out_of_service,0,0,0,False,0,3545,0,0,0,2022-12-20 02:15:58.023140,,
623,1,1671492322,3546,active,1,16,4,False,0,3546,1,2,0,2022-12-20 02:15:58.023140,,
624,1,1671502945,3547,active,1,34,7,False,0,3547,1,3,0,2022-12-20 02:15:58.023140,,
625,1,1671502945,3549,active,1,15,8,False,0,3549,1,4,1,2022-12-20 02:15:58.023140,,
626,1,1671502980,3551,active,1,5,16,False,0,3551,1,5,0,2022-12-20 02:15:58.023140,,
627,1,1671503245,3552,active,1,37,1,False,0,3552,1,1,1,2022-12-20 02:15:58.023140,,
628,1,1671502527,3553,active,1,22,13,False,0,3553,1,1,1,2022-12-20 02:15:58.023140,,
629,1,1671503180,3555,active,1,18,8,False,0,3555,1,1,1,2022-12-20 02:15:58.023140,,
630,1,1671501823,3557,active,1,7,12,False,0,3557,1,2,0,2022-12-20 02:15:58.023140,,
631,1,1671502865,3558,active,1,3,20,False,0,3558,1,12,1,2022-12-20 02:15:58.023140,,
632,1,1671475025,3559,active,1,13,6,False,0,3559,1,0,0,2022-12-20 02:15:58.023140,,
633,1,1671499175,3561,active,1,23,3,False,0,3561,1,1,0,2022-12-20 02:15:58.023140,,
634,1,1671497739,3563,active,1,27,1,False,0,3563,1,0,1,2022-12-20 02:15:58.023140,,
635,1,1671499923,3564,active,1,9,10,False,0,3564,1,3,0,2022-12-20 02:15:58.023140,,
636,1,1671489194,3565,active,1,11,8,False,0,3565,1,2,0,2022-12-20 02:15:58.023140,,
637,1,1671499105,3566,active,1,18,6,False,0,3566,1,3,1,2022-12-20 02:15:58.023140,,
638,1,1671499458,3568,active,1,20,1,False,0,3568,1,0,0,2022-12-20 02:15:58.023140,,
639,1,1671499992,3569,active,1,18,6,False,0,3569,1,2,3,2022-12-20 02:15:58.023140,,
640,1,1671499687,3570,active,1,9,21,False,0,3570,1,2,1,2022-12-20 02:15:58.023140,,
641,1,1671502337,3571,active,1,15,8,False,0,3571,1,3,1,2022-12-20 02:15:58.023140,,
642,1,1671502648,3572,active,1,19,14,False,0,3572,1,1,0,2022-12-20 02:15:58.023140,,
643,1,1671499586,3573,active,1,22,3,False,0,3573,1,0,0,2022-12-20 02:15:58.023140,,
644,1,1671502772,3574,active,1,14,6,False,0,3574,1,6,2,2022-12-20 02:15:58.023140,,
645,1,1671502363,3575,active,1,18,9,False,0,3575,1,2,0,2022-12-20 02:15:58.023140,,
646,1,1671500410,3577,active,1,14,9,False,0,3577,1,1,0,2022-12-20 02:15:58.023140,,
647,1,1671502073,3578,active,1,14,4,False,0,3578,1,3,3,2022-12-20 02:15:58.023140,,
648,1,1671502244,3579,active,1,18,6,False,0,3579,1,4,1,2022-12-20 02:15:58.023140,,
649,1,1671502421,3580,active,1,26,1,False,0,3580,1,1,1,2022-12-20 02:15:58.023140,,
650,1,1671503133,3581,active,1,27,0,False,0,3581,1,0,0,2022-12-20 02:15:58.023140,,
651,1,1671498942,3582,active,1,27,1,False,0,3582,1,1,0,2022-12-20 02:15:58.023140,,
652,1,1671503065,3583,active,1,29,0,False,0,3583,1,0,1,2022-12-20 02:15:58.023140,,
653,1,1671503197,3584,active,1,39,3,False,0,3584,1,1,0,2022-12-20 02:15:58.023140,,
654,1,1671501969,3585,active,1,20,3,False,0,3585,1,2,1,2022-12-20 02:15:58.023140,,
655,1,1671494637,3586,active,1,11,6,False,0,3586,1,0,2,2022-12-20 02:15:58.023140,,
656,1,1671500099,3587,active,1,25,1,False,0,3587,1,1,1,2022-12-20 02:15:58.023140,,
