,num_bikes_disabled,num_docks_disabled,legacy_id,is_renting,eightd_has_available_keys,last_reported,num_bikes_available,num_docks_available,is_installed,is_returning,num_ebikes_available,station_id,last_update,num_scooters_unavailable,num_scooters_available
3867,3,0,4321,1,False,1692839259,8,13,1,1,2,8c6cba48-d803-4a90-99f7-e06edcdbbf92,2023-08-24 01:00:31.430765,0.0,0.0
3868,4,2,391,1,False,1692839265,11,24,1,1,1,66dbeb1b-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3869,0,0,4053,1,False,1692839265,0,19,1,1,0,36aaebb9-ef10-41a5-b20b-753bf8a3fed8,2023-08-24 01:00:31.430765,,
3870,2,0,1792225684155730482,1,False,1692839265,12,10,1,1,2,1792225684155730482,2023-08-24 01:00:31.430765,0.0,0.0
3871,2,0,3500,1,False,1692839265,26,2,1,1,4,b976906e-81c4-44c5-a160-e17815c0d47b,2023-08-24 01:00:31.430765,0.0,0.0
3872,6,0,408,1,False,1692839265,36,3,1,1,1,66dbf362-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3873,5,0,4693,1,False,1692839266,66,0,1,1,13,c466f15e-715f-411e-904e-1a71fb574cdd,2023-08-24 01:00:31.430765,0.0,0.0
3874,2,0,4430,1,False,1692839268,14,8,1,1,5,b43ecf62-4c9d-4b06-ac9a-5837084f769f,2023-08-24 01:00:31.430765,0.0,0.0
3875,3,0,3664,1,False,1692839268,5,21,1,1,1,c1e24edf-7192-433f-8d38-be5b6b3647c5,2023-08-24 01:00:31.430765,0.0,0.0
3876,1,0,3886,1,False,1692839268,5,14,1,1,4,8f3a6711-fd05-4ce1-acf8-9d72b4a1bf97,2023-08-24 01:00:31.430765,0.0,0.0
3877,1,0,4560,1,False,1692839268,2,18,1,1,0,2ec2f95c-675c-4c59-856f-1fb38df59fa2,2023-08-24 01:00:31.430765,0.0,0.0
