,num_docks_available,is_renting,is_returning,legacy_id,num_ebikes_available,station_id,num_docks_disabled,num_bikes_disabled,last_reported,eightd_has_available_keys,is_installed,num_bikes_available,last_update,num_scooters_unavailable,num_scooters_available
1078,16,1,1,1828967830172187422,8,1828967830172187422,0,2,1692666544,False,1,12,2023-08-22 01:00:22.295629,0.0,0.0
1079,4,1,1,4981,1,a1acdab2-29c7-4956-8b2e-24b39dc2ff13,0,3,1692666543,False,1,33,2023-08-22 01:00:22.295629,0.0,0.0
1080,14,1,1,174,1,66db34fc-0aca-11e7-82f6-3863bb44ef7c,0,2,1692666542,False,1,15,2023-08-22 01:00:22.295629,0.0,0.0
1081,19,1,1,4085,1,ba0a4ada-c9f6-48b4-a7b3-7220f6fb88c2,0,2,1692666543,False,1,4,2023-08-22 01:00:22.295629,0.0,0.0
1082,18,1,1,4934,1,085da8d4-9465-46f0-82d1-10c9c9177d64,0,0,1692666542,False,1,1,2023-08-22 01:00:22.295629,0.0,0.0
1083,18,1,1,4224,3,03211414-ef73-4912-92ea-405dc40e6821,0,8,1692666542,False,1,3,2023-08-22 01:00:22.295629,0.0,0.0
1084,0,1,1,4045,6,2f656bc4-7743-4326-8330-a22bd41d9d17,0,3,1692666540,False,1,36,2023-08-22 01:00:22.295629,0.0,0.0
1085,9,1,1,1836581534415880440,8,1836581534415880440,0,3,1692666550,False,1,14,2023-08-22 01:00:22.295629,0.0,0.0
1086,87,1,1,4676,0,95478d78-5e48-44e3-8f95-c63ee31451a9,0,5,1692666551,False,1,0,2023-08-22 01:00:22.295629,0.0,0.0
1087,0,1,1,1796642668661690940,1,1796642668661690940,0,0,1692666548,False,1,20,2023-08-22 01:00:22.295629,0.0,0.0
1088,9,1,1,3046,1,66dcbbfe-0aca-11e7-82f6-3863bb44ef7c,0,1,1692666548,False,1,8,2023-08-22 01:00:22.295629,0.0,0.0
1089,82,1,1,455,0,66dc2172-0aca-11e7-82f6-3863bb44ef7c,1,3,1692666548,False,1,1,2023-08-22 01:00:22.295629,0.0,0.0
1090,14,1,1,4081,3,0f536c08-dde3-40af-a66d-1fe1e7edecd2,0,0,1692666549,False,1,7,2023-08-22 01:00:22.295629,0.0,0.0
1091,19,1,1,4788,1,a58ff2e3-a5ae-4070-a26d-ddfe8cc6fc58,0,0,1692666546,False,1,1,2023-08-22 01:00:22.295629,0.0,0.0
1092,10,1,1,3415,0,66de5ace-0aca-11e7-82f6-3863bb44ef7c,0,0,1692666546,False,1,14,2023-08-22 01:00:22.295629,0.0,0.0
1093,14,1,1,3070,6,66dce567-0aca-11e7-82f6-3863bb44ef7c,0,0,1692666546,False,1,9,2023-08-22 01:00:22.295629,0.0,0.0
1094,16,1,1,443,2,66dc192f-0aca-11e7-82f6-3863bb44ef7c,0,1,1692666546,False,1,5,2023-08-22 01:00:22.295629,0.0,0.0
1095,25,1,1,4639,1,4ad1714c-528e-4200-882f-82082c4d85b0,0,1,1692666546,False,1,1,2023-08-22 01:00:22.295629,0.0,0.0
1096,17,1,1,5073,0,8fa2fafb-fa07-48b2-b159-bffbea7176d4,0,0,1692666547,False,1,3,2023-08-22 01:00:22.295629,0.0,0.0
1097,25,1,1,3848,3,7603028c-8b04-4918-8a25-a087ce57aea4,1,0,1692666547,False,1,6,2023-08-22 01:00:22.295629,0.0,0.0
1098,13,1,1,4614,2,844c68cc-19f0-474a-86d3-4af170117aae,0,1,1692666547,False,1,7,2023-08-22 01:00:22.295629,0.0,0.0
1099,4,1,1,3980,4,85b77b8d-32b8-4049-a407-64319916e2c5,1,3,1692666548,False,1,12,2023-08-22 01:00:22.295629,0.0,0.0
1100,1,1,1,4823,2,787fe4b2-6029-4f71-917e-892479d8d64e,0,1,1692666550,False,1,16,2023-08-22 01:00:22.295629,0.0,0.0
1101,5,1,1,128,2,66db2afe-0aca-11e7-82f6-3863bb44ef7c,1,9,1692666551,False,1,40,2023-08-22 01:00:22.295629,0.0,0.0
1102,15,1,1,3789,4,47bcbcc1-9241-4e65-99f1-07c15543be1b,0,3,1692666551,False,1,12,2023-08-22 01:00:22.295629,0.0,0.0
1103,8,1,1,3095,5,66dd0808-0aca-11e7-82f6-3863bb44ef7c,0,4,1692666552,False,1,11,2023-08-22 01:00:22.295629,0.0,0.0
1104,0,1,1,3391,4,66de4594-0aca-11e7-82f6-3863bb44ef7c,0,2,1692666552,False,1,23,2023-08-22 01:00:22.295629,0.0,0.0
1105,14,1,1,3571,5,a2f71eea-05a2-4fe7-99ab-f74535c880ae,1,1,1692666549,False,1,8,2023-08-22 01:00:22.295629,0.0,0.0
1106,3,1,1,1817432104157364846,2,1817432104157364846,0,2,1692666549,False,1,18,2023-08-22 01:00:22.295629,0.0,0.0
1107,30,1,1,3463,0,647a2a80-9630-41b0-9b91-1f464b0bf3cc,2,7,1692666556,False,1,40,2023-08-22 01:00:22.295629,0.0,0.0
1108,3,1,1,3535,7,668ef22c-4665-4f42-bf6a-ab9e8a2899b1,0,4,1692666557,False,1,20,2023-08-22 01:00:22.295629,0.0,0.0
1109,18,1,1,1828967027013302842,0,1828967027013302842,0,1,1692666557,False,1,0,2023-08-22 01:00:22.295629,0.0,0.0
1110,2,1,1,3303,1,66dde914-0aca-11e7-82f6-3863bb44ef7c,0,4,1692666557,False,1,29,2023-08-22 01:00:22.295629,0.0,0.0
1111,25,1,1,4709,1,53e30d38-a110-42b4-a8f9-ca801a847ac7,0,3,1692666557,False,1,14,2023-08-22 01:00:22.295629,0.0,0.0
1112,0,1,1,4415,0,248d2318-ebbf-422d-987f-87b8602ee0d4,0,1,1692666552,False,1,30,2023-08-22 01:00:22.295629,0.0,0.0
