,station_status,num_bikes_disabled,eightd_has_available_keys,is_installed,last_reported,num_ebikes_available,num_docks_disabled,num_docks_available,station_id,legacy_id,num_bikes_available,is_returning,is_renting,last_update
1071,active,1,False,1,1670807420,1,0,19,4128,4128,4,1,1,2022-12-12 01:15:35.023287
1072,active,0,False,1,1670795044,0,0,7,4129,4129,12,1,1,2022-12-12 01:15:35.023287
1073,active,1,False,1,1670804624,2,0,7,4130,4130,14,1,1,2022-12-12 01:15:35.023287
1074,active,1,False,1,1670803526,0,0,7,4131,4131,10,1,1,2022-12-12 01:15:35.023287
1075,active,0,False,1,1670800615,2,0,13,4132,4132,6,1,1,2022-12-12 01:15:35.023287
1076,active,0,False,1,1670801311,0,0,18,4133,4133,2,1,1,2022-12-12 01:15:35.023287
1077,active,1,False,1,1670802241,3,0,11,4134,4134,12,1,1,2022-12-12 01:15:35.023287
1078,active,1,False,1,1670802552,4,0,15,4135,4135,7,1,1,2022-12-12 01:15:35.023287
1079,active,0,False,1,1670805717,4,0,4,4136,4136,18,1,1,2022-12-12 01:15:35.023287
1080,active,26,False,1,1670808072,1,0,0,4137,4137,1,1,1,2022-12-12 01:15:35.023287
1081,active,0,False,1,1670806020,1,0,5,4138,4138,14,1,1,2022-12-12 01:15:35.023287
1082,active,1,False,1,1670795222,1,0,17,4139,4139,1,1,1,2022-12-12 01:15:35.023287
1083,active,0,False,1,1670795120,5,0,17,4140,4140,7,1,1,2022-12-12 01:15:35.023287
1084,active,0,False,1,1670778220,1,0,4,4141,4141,16,1,1,2022-12-12 01:15:35.023287
1085,active,0,False,1,1670782842,0,0,11,4142,4142,8,1,1,2022-12-12 01:15:35.023287
1086,active,0,False,1,1670747374,0,0,19,4143,4143,2,1,1,2022-12-12 01:15:35.023287
1087,active,1,False,1,1670789380,2,0,19,4144,4144,2,1,1,2022-12-12 01:15:35.023287
1088,active,2,False,1,1670790142,2,0,23,4146,4146,5,1,1,2022-12-12 01:15:35.023287
1089,active,0,False,1,1670747373,0,0,17,4147,4147,2,1,1,2022-12-12 01:15:35.023287
1090,active,0,False,1,1670788702,0,0,22,4148,4148,5,1,1,2022-12-12 01:15:35.023287
1091,active,0,False,1,1670798038,1,0,19,4149,4149,1,1,1,2022-12-12 01:15:35.023287
1092,active,0,False,1,1670806605,1,0,10,4151,4151,11,1,1,2022-12-12 01:15:35.023287
1093,active,0,False,1,1670802675,1,0,8,4152,4152,13,1,1,2022-12-12 01:15:35.023287
1094,active,1,False,1,1670787516,0,0,25,4153,4153,1,1,1,2022-12-12 01:15:35.023287
1095,active,0,False,1,1670772565,2,0,10,4154,4154,9,1,1,2022-12-12 01:15:35.023287
1096,active,1,False,1,1670783580,5,0,8,4155,4155,10,1,1,2022-12-12 01:15:35.023287
1097,active,0,False,1,1670807118,2,0,17,4156,4156,2,1,1,2022-12-12 01:15:35.023287
1098,active,2,False,1,1670798921,2,0,15,4157,4157,2,1,1,2022-12-12 01:15:35.023287
1099,active,0,False,1,1670804817,1,0,13,4158,4158,5,1,1,2022-12-12 01:15:35.023287
1100,active,0,False,1,1670757991,0,0,6,4159,4159,13,1,1,2022-12-12 01:15:35.023287
1101,active,0,False,1,1670777093,2,0,5,4160,4160,13,1,1,2022-12-12 01:15:35.023287
1102,active,1,False,1,1670805500,2,0,22,4161,4161,12,1,1,2022-12-12 01:15:35.023287
1103,active,0,False,1,1670773045,1,0,11,4162,4162,8,1,1,2022-12-12 01:15:35.023287
1104,active,0,False,1,1670795322,4,0,10,4163,4163,9,1,1,2022-12-12 01:15:35.023287
1105,active,0,False,1,1670788271,6,0,0,4164,4164,20,1,1,2022-12-12 01:15:35.023287
1106,active,1,False,1,1670792544,3,0,8,4165,4165,10,1,1,2022-12-12 01:15:35.023287
1107,active,0,False,1,1670807534,1,0,2,4166,4166,25,1,1,2022-12-12 01:15:35.023287
1108,active,0,False,1,1670803480,0,0,11,4167,4167,8,1,1,2022-12-12 01:15:35.023287
1109,active,0,False,1,1670793971,0,0,16,4168,4168,3,1,1,2022-12-12 01:15:35.023287
1110,active,0,False,1,1670796488,1,0,20,4169,4169,1,1,1,2022-12-12 01:15:35.023287
1111,active,0,False,1,1670792850,0,0,2,4170,4170,17,1,1,2022-12-12 01:15:35.023287
1112,active,0,False,1,1670803245,1,0,19,4171,4171,2,1,1,2022-12-12 01:15:35.023287
1113,active,1,False,1,1670792780,0,0,18,4172,4172,0,1,1,2022-12-12 01:15:35.023287
1114,active,1,False,1,1670805223,2,0,7,4173,4173,13,1,1,2022-12-12 01:15:35.023287
1115,active,0,False,1,1670797790,5,0,5,4174,4174,15,1,1,2022-12-12 01:15:35.023287
1116,active,0,False,1,1670782641,4,0,2,4175,4175,18,1,1,2022-12-12 01:15:35.023287
1117,active,1,False,1,1670787402,2,0,5,4176,4176,18,1,1,2022-12-12 01:15:35.023287
1118,active,0,False,1,1670802955,2,0,14,4177,4177,5,1,1,2022-12-12 01:15:35.023287
1119,active,0,False,1,1670804551,0,0,16,4179,4179,6,1,1,2022-12-12 01:15:35.023287
1120,active,1,False,1,1670795491,5,0,13,4181,4181,6,1,1,2022-12-12 01:15:35.023287
1121,active,0,False,1,1670803634,2,0,7,4182,4182,11,1,1,2022-12-12 01:15:35.023287
1122,active,0,False,1,1670797878,2,0,16,4183,4183,2,1,1,2022-12-12 01:15:35.023287
1123,active,0,False,1,1670804199,5,0,22,4184,4184,5,1,1,2022-12-12 01:15:35.023287
1124,active,0,False,1,1670803253,7,0,6,4185,4185,12,1,1,2022-12-12 01:15:35.023287
1125,active,0,False,1,1670799586,2,0,15,4186,4186,12,1,1,2022-12-12 01:15:35.023287
1126,active,0,False,1,1670800301,0,0,31,4188,4188,0,1,1,2022-12-12 01:15:35.023287
1127,active,0,False,1,1670794455,0,0,16,4190,4190,3,1,1,2022-12-12 01:15:35.023287
1128,active,0,False,1,1670785558,1,0,1,4191,4191,18,1,1,2022-12-12 01:15:35.023287
1129,active,0,False,1,1670793594,7,0,10,4192,4192,9,1,1,2022-12-12 01:15:35.023287
1130,active,1,False,1,1670792464,1,0,17,4193,4193,3,1,1,2022-12-12 01:15:35.023287
1131,active,1,False,1,1670801827,1,0,4,4194,4194,24,1,1,2022-12-12 01:15:35.023287
1132,active,1,False,1,1670803814,1,0,3,4195,4195,26,1,1,2022-12-12 01:15:35.023287
1133,active,0,False,1,1670807096,2,0,12,4198,4198,9,1,1,2022-12-12 01:15:35.023287
1134,active,0,False,1,1670804846,2,0,9,4199,4199,10,1,1,2022-12-12 01:15:35.023287
1135,active,2,False,1,1670804436,1,0,24,4200,4200,1,1,1,2022-12-12 01:15:35.023287
1136,active,0,False,1,1670805694,2,0,9,4201,4201,12,1,1,2022-12-12 01:15:35.023287
1137,active,2,False,1,1670778845,0,0,13,4202,4202,4,1,1,2022-12-12 01:15:35.023287
1138,active,0,False,1,1670804697,2,0,4,4203,4203,17,1,1,2022-12-12 01:15:35.023287
1139,active,0,False,1,1670807368,2,0,17,4204,4204,3,1,1,2022-12-12 01:15:35.023287
1140,active,0,False,1,1670789535,8,0,0,4205,4205,18,1,1,2022-12-12 01:15:35.023287
1141,active,0,False,1,1670807880,2,0,19,4206,4206,8,1,1,2022-12-12 01:15:35.023287
1142,active,1,False,1,1670808071,1,0,14,4207,4207,3,1,1,2022-12-12 01:15:35.023287
1143,active,0,False,1,1670798304,1,0,8,4208,4208,11,1,1,2022-12-12 01:15:35.023287
1144,active,1,False,1,1670796151,0,0,17,4209,4209,0,1,1,2022-12-12 01:15:35.023287
1145,active,4,False,1,1670802651,0,0,20,4210,4210,0,1,1,2022-12-12 01:15:35.023287
1146,active,0,False,1,1670807582,2,0,13,4211,4211,6,1,1,2022-12-12 01:15:35.023287
1147,active,0,False,1,1670806835,0,0,17,4212,4212,2,1,1,2022-12-12 01:15:35.023287
1148,active,0,False,1,1670803749,1,0,17,4213,4213,1,1,1,2022-12-12 01:15:35.023287
1149,active,1,False,1,1670807427,5,0,0,4214,4214,42,1,1,2022-12-12 01:15:35.023287
1150,active,2,False,1,1670802243,10,0,1,4215,4215,25,1,1,2022-12-12 01:15:35.023287
1151,active,6,False,1,1670807928,10,0,0,4216,4216,49,0,0,2022-12-12 01:15:35.023287
1152,active,0,False,1,1670807758,1,0,26,4218,4218,29,1,1,2022-12-12 01:15:35.023287
1153,active,1,False,1,1670801874,1,0,27,4219,4219,1,1,1,2022-12-12 01:15:35.023287
1154,active,0,False,1,1670807330,1,0,21,4220,4220,5,1,1,2022-12-12 01:15:35.023287
1155,active,1,False,1,1670806033,1,0,5,4222,4222,21,1,1,2022-12-12 01:15:35.023287
1156,active,1,False,1,1670799875,2,0,14,4225,4225,16,1,1,2022-12-12 01:15:35.023287
1157,active,0,False,1,1670748588,5,0,12,4227,4227,7,1,1,2022-12-12 01:15:35.023287
1158,active,0,False,1,1670794897,12,0,2,4228,4228,16,1,1,2022-12-12 01:15:35.023287
1159,active,0,False,1,1670796397,7,0,15,4229,4229,9,1,1,2022-12-12 01:15:35.023287
1160,active,0,False,1,1670800957,5,0,8,4230,4230,11,1,1,2022-12-12 01:15:35.023287
1161,active,0,False,1,1670807572,27,0,3,4232,4232,63,1,1,2022-12-12 01:15:35.023287
1162,active,0,False,1,1670806594,5,0,48,4233,4233,8,1,1,2022-12-12 01:15:35.023287
1163,active,0,False,1,1670807151,5,0,49,4235,4235,6,1,1,2022-12-12 01:15:35.023287
1164,active,1,False,1,1670806790,1,0,56,4236,4236,2,1,1,2022-12-12 01:15:35.023287
1165,active,2,False,1,1670807338,3,0,72,4238,4238,5,1,1,2022-12-12 01:15:35.023287
1166,active,2,False,1,1670800121,1,0,34,4239,4239,1,1,1,2022-12-12 01:15:35.023287
