,is_returning,legacy_id,num_bikes_disabled,num_docks_available,num_docks_disabled,station_status,is_renting,num_ebikes_available,is_installed,last_reported,station_id,eightd_has_available_keys,num_bikes_available,last_update,num_scooters_unavailable,num_scooters_available
41,1,5013,3,7,0,active,1,2,1,1691025491,c2d549f8-f54c-4a0d-9ecd-6e6f79118279,False,13,2023-08-03 01:15:09.494449,0.0,0.0
42,1,4017,2,15,0,active,1,1,1,1691025491,a4d041fd-c5fa-4f52-800c-25d7a661a875,False,5,2023-08-03 01:15:09.494449,0.0,0.0
43,1,3348,2,6,0,active,1,0,1,1691025491,66de1516-0aca-11e7-82f6-3863bb44ef7c,False,24,2023-08-03 01:15:09.494449,0.0,0.0
44,1,428,1,45,0,active,1,2,1,1691025494,66dc0f8a-0aca-11e7-82f6-3863bb44ef7c,False,12,2023-08-03 01:15:09.494449,0.0,0.0
45,1,4144,3,15,0,active,1,2,1,1691025494,90b141b9-c39f-4a26-a32d-08c7d1474d52,False,2,2023-08-03 01:15:09.494449,0.0,0.0
46,1,1786698974100683436,4,20,0,active,1,0,1,1691025494,1786698974100683436,False,29,2023-08-03 01:15:09.494449,0.0,0.0
47,1,3957,1,11,0,active,1,2,1,1691025498,98ebf9c6-1d94-4e21-9007-c623875fdb5e,False,7,2023-08-03 01:15:09.494449,0.0,0.0
48,1,4382,1,3,0,active,1,0,1,1691025495,29a41b09-698f-43e2-82ff-f94f73e74841,False,15,2023-08-03 01:15:09.494449,0.0,0.0
49,1,3772,1,8,0,active,1,0,1,1691025495,84a7baff-415b-4ab9-a859-74c2801483ce,False,9,2023-08-03 01:15:09.494449,0.0,0.0
50,1,4141,1,2,0,active,1,2,1,1691025493,8a89684b-40a5-49fe-b75d-fdf32ffa8102,False,16,2023-08-03 01:15:09.494449,0.0,0.0
51,1,1828965347681089818,0,7,0,active,1,3,1,1691025494,1828965347681089818,False,13,2023-08-03 01:15:09.494449,0.0,0.0
52,1,4098,8,9,0,active,1,1,1,1691025497,b96507c5-7c90-499d-9c45-58f25d6f636a,False,1,2023-08-03 01:15:09.494449,0.0,0.0
