,is_returning,last_reported,is_installed,num_ebikes_available,station_status,num_bikes_available,eightd_has_available_keys,is_renting,num_bikes_disabled,num_docks_available,num_docks_disabled,legacy_id,station_id,last_update,valet,eightd_active_station_services
518,0,1671242533,22,active,3391,3,False,1,0,1,3391,2,1,2022-12-17 02:00:27.007582,,
519,1,1671240995,0,active,3392,18,False,1,0,1,3392,4,1,2022-12-17 02:00:27.007582,,
520,0,1671239948,0,active,3393,19,False,1,0,1,3393,1,1,2022-12-17 02:00:27.007582,,
521,0,1671242728,0,active,3394,20,False,1,0,1,3394,1,1,2022-12-17 02:00:27.007582,,
522,0,1671242533,2,active,3395,17,False,1,0,1,3395,0,1,2022-12-17 02:00:27.007582,,
523,0,1671241136,20,active,3396,5,False,1,0,1,3396,1,1,2022-12-17 02:00:27.007582,,
524,1,1671240569,12,active,3397,20,False,1,0,1,3397,6,1,2022-12-17 02:00:27.007582,,
525,0,1671242736,22,active,3398,0,False,1,0,1,3398,0,1,2022-12-17 02:00:27.007582,,
526,1,1671243003,12,active,3399,9,False,1,0,1,3399,0,1,2022-12-17 02:00:27.007582,,
527,1,1671238696,16,active,3402,13,False,1,0,1,3402,2,1,2022-12-17 02:00:27.007582,,
528,0,1671239539,9,active,3403,21,False,1,0,1,3403,3,1,2022-12-17 02:00:27.007582,,
