,num_bikes_available,station_id,legacy_id,station_status,eightd_has_available_keys,num_docks_disabled,num_docks_available,num_ebikes_available,last_reported,num_bikes_disabled,is_installed,is_renting,is_returning,last_update,valet,eightd_active_station_services
103,48,347,347,active,False,0,0,3,1671324510,6,1,1,1,2022-12-18 01:15:16.607891,,
104,12,349,349,active,False,0,45,1,1671326156,0,1,1,1,2022-12-18 01:15:16.607891,,
105,17,350,350,active,False,0,30,2,1671325981,0,1,1,1,2022-12-18 01:15:16.607891,,
106,19,352,352,active,False,0,14,6,1671324493,1,1,1,1,2022-12-18 01:15:16.607891,,
107,8,353,353,active,False,0,18,3,1671324447,1,1,1,1,2022-12-18 01:15:16.607891,,
108,25,354,354,active,False,0,32,0,1671325755,5,1,1,1,2022-12-18 01:15:16.607891,,
109,42,355,355,active,False,0,0,5,1671324375,1,1,1,1,2022-12-18 01:15:16.607891,,
110,5,356,356,active,False,0,18,0,1671322831,0,1,1,1,2022-12-18 01:15:16.607891,,
111,38,358,358,active,False,0,6,0,1671326020,5,1,1,1,2022-12-18 01:15:16.607891,,
112,35,359,359,active,False,0,72,22,1671326153,2,1,1,1,2022-12-18 01:15:16.607891,,
113,28,360,360,active,False,0,27,0,1671322968,1,1,1,1,2022-12-18 01:15:16.607891,,
114,67,361,361,active,False,0,8,16,1671325870,4,1,1,1,2022-12-18 01:15:16.607891,,
115,31,362,362,active,False,0,25,2,1671320510,0,1,1,1,2022-12-18 01:15:16.607891,,
116,51,363,363,active,False,1,21,15,1671326032,0,1,1,1,2022-12-18 01:15:16.607891,,
117,1,364,364,active,False,0,25,0,1671321656,0,1,1,1,2022-12-18 01:15:16.607891,,
118,4,366,366,active,False,0,28,0,1671325875,1,1,1,1,2022-12-18 01:15:16.607891,,
119,36,367,367,active,False,0,21,10,1671326105,0,1,1,1,2022-12-18 01:15:16.607891,,
120,0,368,368,out_of_service,False,0,0,0,86400,0,0,0,0,2022-12-18 01:15:16.607891,,
121,67,369,369,active,False,0,0,7,1671325564,7,1,0,0,2022-12-18 01:15:16.607891,,
122,2,372,372,active,False,0,23,0,1671324768,1,1,1,1,2022-12-18 01:15:16.607891,,
123,0,373,373,active,False,0,15,0,1671322482,4,1,1,1,2022-12-18 01:15:16.607891,,
124,38,376,376,active,False,0,3,0,1671324044,0,1,1,1,2022-12-18 01:15:16.607891,,
125,44,377,377,active,False,0,1,2,1671326073,4,1,1,1,2022-12-18 01:15:16.607891,,
126,52,379,379,active,False,0,0,50,1671325700,2,1,1,1,2022-12-18 01:15:16.607891,,
127,18,380,380,active,False,0,6,11,1671326094,3,1,1,1,2022-12-18 01:15:16.607891,,
128,0,383,383,out_of_service,False,0,0,0,86400,0,0,0,0,2022-12-18 01:15:16.607891,,
129,1,385,385,active,False,0,25,0,1671325890,2,1,1,1,2022-12-18 01:15:16.607891,,
