,legacy_id,station_id,num_bikes_disabled,eightd_has_available_keys,last_reported,is_installed,is_returning,is_renting,num_ebikes_available,num_bikes_available,num_docks_disabled,num_docks_available,station_status,last_update
152,416,416,0,False,1670893988,1,1,1,1,1,0,26,active,2022-12-13 01:15:17.723177
153,417,417,0,False,1670894129,1,1,1,1,24,0,1,active,2022-12-13 01:15:17.723177
154,418,418,1,False,1670889936,1,1,1,1,34,0,2,active,2022-12-13 01:15:17.723177
155,419,419,0,False,1670893258,1,1,1,5,10,0,11,active,2022-12-13 01:15:17.723177
156,420,420,2,False,1670894464,1,1,1,1,10,0,39,active,2022-12-13 01:15:17.723177
157,421,421,0,False,1670892548,1,1,1,2,7,0,12,active,2022-12-13 01:15:17.723177
158,422,422,1,False,1670894088,1,1,1,3,6,0,109,active,2022-12-13 01:15:17.723177
159,423,423,4,False,1670894221,1,1,1,13,17,0,20,active,2022-12-13 01:15:17.723177
160,426,426,3,False,1670894607,1,1,1,2,71,0,5,active,2022-12-13 01:15:17.723177
161,427,427,0,False,1670886481,1,1,1,1,60,0,9,active,2022-12-13 01:15:17.723177
162,428,428,1,False,1670893660,1,1,1,5,58,0,0,active,2022-12-13 01:15:17.723177
163,432,432,1,False,1670894581,1,1,1,12,24,0,20,active,2022-12-13 01:15:17.723177
164,434,434,4,False,1670894068,1,1,1,3,42,0,14,active,2022-12-13 01:15:17.723177
165,435,435,2,False,1670894608,1,1,1,1,45,0,26,active,2022-12-13 01:15:17.723177
166,436,436,2,False,1670894631,1,1,1,1,2,0,23,active,2022-12-13 01:15:17.723177
167,437,437,2,False,1670888497,1,1,1,0,0,0,21,active,2022-12-13 01:15:17.723177
168,438,438,0,False,1670894605,1,1,1,4,63,0,6,active,2022-12-13 01:15:17.723177
169,439,439,2,False,1670894597,1,1,1,13,40,0,0,active,2022-12-13 01:15:17.723177
170,440,440,3,False,1670893495,1,1,1,2,11,0,16,active,2022-12-13 01:15:17.723177
171,442,442,2,False,1670894343,1,1,1,0,15,0,32,active,2022-12-13 01:15:17.723177
172,443,443,2,False,1670894407,1,1,1,1,20,0,1,active,2022-12-13 01:15:17.723177
173,445,445,3,False,1670894347,1,1,1,10,30,0,73,active,2022-12-13 01:15:17.723177
174,446,446,3,False,1670894474,1,1,1,1,43,0,33,active,2022-12-13 01:15:17.723177
175,447,447,1,False,1670894293,1,1,1,6,15,0,13,active,2022-12-13 01:15:17.723177
176,448,448,1,False,1670894428,1,1,1,1,7,0,18,active,2022-12-13 01:15:17.723177
177,450,450,2,False,1670894574,1,1,1,5,14,0,51,active,2022-12-13 01:15:17.723177
178,453,453,4,False,1670894438,1,1,1,6,52,0,8,active,2022-12-13 01:15:17.723177
179,454,454,3,False,1670894556,1,1,1,5,12,0,19,active,2022-12-13 01:15:17.723177
180,455,455,0,False,1670894628,1,1,1,2,34,0,53,active,2022-12-13 01:15:17.723177
181,456,456,2,False,1670894065,1,1,1,0,2,0,44,active,2022-12-13 01:15:17.723177
182,457,457,1,False,1670894383,1,1,1,11,22,0,54,active,2022-12-13 01:15:17.723177
183,458,458,0,False,1670893653,1,1,1,3,20,0,22,active,2022-12-13 01:15:17.723177
184,460,460,2,False,1670893156,1,1,1,1,23,0,0,active,2022-12-13 01:15:17.723177
185,461,461,1,False,1670893860,1,1,1,8,18,0,37,active,2022-12-13 01:15:17.723177
186,462,462,1,False,1670894507,1,1,1,7,62,0,14,active,2022-12-13 01:15:17.723177
187,464,464,0,False,1665166826,0,0,0,0,0,0,1,out_of_service,2022-12-13 01:15:17.723177
188,465,465,1,False,1670894059,1,1,1,0,10,0,42,active,2022-12-13 01:15:17.723177
189,466,466,1,False,1670894587,1,1,1,1,13,0,20,active,2022-12-13 01:15:17.723177
190,468,468,1,False,1670894147,1,1,1,0,21,0,56,active,2022-12-13 01:15:17.723177
191,469,469,0,False,1670894200,1,1,1,0,12,0,71,active,2022-12-13 01:15:17.723177
192,470,470,2,False,1670894204,1,1,1,5,64,0,15,active,2022-12-13 01:15:17.723177
193,471,471,1,False,1670894395,1,1,1,3,29,0,1,active,2022-12-13 01:15:17.723177
194,472,472,0,False,1670892989,1,1,1,1,3,0,51,active,2022-12-13 01:15:17.723177
195,473,473,0,False,1670893472,1,1,1,4,61,0,3,active,2022-12-13 01:15:17.723177
196,474,474,1,False,1670894336,1,1,1,3,34,0,21,active,2022-12-13 01:15:17.723177
197,476,476,4,False,1670894527,1,1,1,8,28,0,29,active,2022-12-13 01:15:17.723177
198,477,477,3,False,1670894585,1,1,1,37,60,4,4,active,2022-12-13 01:15:17.723177
199,478,478,4,False,1670894514,1,1,1,9,30,0,19,active,2022-12-13 01:15:17.723177
200,479,479,1,False,1670894130,1,1,1,14,25,0,1,active,2022-12-13 01:15:17.723177
201,480,480,1,False,1670894548,1,1,1,1,6,0,22,active,2022-12-13 01:15:17.723177
202,481,481,0,False,1670893871,1,1,1,9,21,0,4,active,2022-12-13 01:15:17.723177
203,482,482,4,False,1670894499,1,1,1,8,67,0,7,active,2022-12-13 01:15:17.723177
204,483,483,1,False,1670894425,1,0,0,7,36,0,32,active,2022-12-13 01:15:17.723177
205,484,484,0,False,1670894289,1,1,1,0,12,0,54,active,2022-12-13 01:15:17.723177
206,485,485,0,False,1670894393,1,1,1,0,2,0,38,active,2022-12-13 01:15:17.723177
207,486,486,3,False,1670894451,1,1,1,8,21,0,16,active,2022-12-13 01:15:17.723177
208,489,489,2,False,1670894507,1,1,1,7,57,0,8,active,2022-12-13 01:15:17.723177
209,490,490,4,False,1670894413,1,1,1,39,74,0,16,active,2022-12-13 01:15:17.723177
210,494,494,1,False,1670894606,1,1,1,2,28,0,37,active,2022-12-13 01:15:17.723177
211,495,495,0,False,1670894057,1,1,1,3,10,0,29,active,2022-12-13 01:15:17.723177
212,496,496,3,False,1670893908,1,1,1,7,32,0,30,active,2022-12-13 01:15:17.723177
213,497,497,6,False,1670894254,1,1,1,0,47,0,12,active,2022-12-13 01:15:17.723177
214,500,500,0,False,1670893535,1,1,1,0,32,0,45,active,2022-12-13 01:15:17.723177
215,501,501,5,False,1670893955,1,1,1,12,43,0,34,active,2022-12-13 01:15:17.723177
216,502,502,0,False,1670894184,1,1,1,25,34,0,2,active,2022-12-13 01:15:17.723177
217,503,503,0,False,1670894398,1,1,1,2,36,0,9,active,2022-12-13 01:15:17.723177
218,504,504,3,False,1670894339,1,1,1,11,28,0,21,active,2022-12-13 01:15:17.723177
219,505,505,5,False,1670894494,1,1,1,23,45,0,2,active,2022-12-13 01:15:17.723177
220,507,507,0,False,1670894628,1,1,1,3,8,0,71,active,2022-12-13 01:15:17.723177
221,508,508,2,False,1670894119,1,1,1,1,3,0,18,active,2022-12-13 01:15:17.723177
222,509,509,4,False,1670894506,1,1,1,21,52,0,3,active,2022-12-13 01:15:17.723177
223,510,510,1,False,1670894633,1,1,1,5,28,0,48,active,2022-12-13 01:15:17.723177
224,511,511,0,False,1670893905,1,1,1,5,13,0,30,active,2022-12-13 01:15:17.723177
225,512,512,1,False,1670894050,1,1,1,8,14,0,12,active,2022-12-13 01:15:17.723177
226,513,513,1,False,1670894026,1,1,1,5,6,0,35,active,2022-12-13 01:15:17.723177
227,514,514,4,False,1670892653,1,1,1,22,47,0,0,active,2022-12-13 01:15:17.723177
228,515,515,1,False,1670894296,1,1,1,7,31,0,46,active,2022-12-13 01:15:17.723177
229,516,516,0,False,1670893910,1,1,1,0,36,0,11,active,2022-12-13 01:15:17.723177
230,522,522,1,False,1670894380,1,1,1,0,26,0,47,active,2022-12-13 01:15:17.723177
