,num_docks_available,is_renting,num_bikes_disabled,legacy_id,is_installed,num_ebikes_available,eightd_has_available_keys,num_bikes_available,num_docks_disabled,station_id,last_reported,is_returning,station_status,last_update
105,17,1,5,350,1,6,False,24,0,350,1671412259,1,active,2022-12-19 01:00:00.541507
106,29,1,0,352,1,4,False,7,0,352,1671412390,1,active,2022-12-19 01:00:00.541507
107,16,1,4,353,1,0,False,7,0,353,1671409160,1,active,2022-12-19 01:00:00.541507
108,46,1,3,354,1,1,False,13,0,354,1671410401,1,active,2022-12-19 01:00:00.541507
109,6,1,0,355,1,2,False,37,0,355,1671412116,1,active,2022-12-19 01:00:00.541507
110,16,1,0,356,1,3,False,7,0,356,1671412331,1,active,2022-12-19 01:00:00.541507
111,2,1,5,358,1,0,False,41,0,358,1671412384,1,active,2022-12-19 01:00:00.541507
112,97,1,1,359,1,0,False,12,0,359,1671409295,1,active,2022-12-19 01:00:00.541507
113,37,1,0,360,1,0,False,20,0,360,1671412157,1,active,2022-12-19 01:00:00.541507
114,4,1,2,361,1,11,False,73,0,361,1671412352,1,active,2022-12-19 01:00:00.541507
115,21,1,1,362,1,3,False,35,0,362,1671410023,1,active,2022-12-19 01:00:00.541507
116,32,1,0,363,1,5,False,40,0,363,1671411572,1,active,2022-12-19 01:00:00.541507
117,25,1,0,364,1,2,False,2,0,364,1671410074,1,active,2022-12-19 01:00:00.541507
118,15,1,1,366,1,6,False,15,0,366,1671412097,1,active,2022-12-19 01:00:00.541507
119,30,1,1,367,1,4,False,23,0,367,1671406221,1,active,2022-12-19 01:00:00.541507
120,0,0,0,368,0,0,False,0,0,368,86400,0,out_of_service,2022-12-19 01:00:00.541507
121,4,1,4,369,1,4,False,67,0,369,1671411982,1,active,2022-12-19 01:00:00.541507
122,21,1,1,372,1,1,False,4,0,372,1671411785,1,active,2022-12-19 01:00:00.541507
123,12,1,4,373,1,1,False,2,0,373,1671410728,1,active,2022-12-19 01:00:00.541507
124,5,1,0,376,1,3,False,37,0,376,1671412017,1,active,2022-12-19 01:00:00.541507
125,0,1,3,377,1,1,False,45,0,377,1671412155,1,active,2022-12-19 01:00:00.541507
126,20,1,3,379,1,28,False,33,0,379,1671412220,1,active,2022-12-19 01:00:00.541507
127,4,1,1,380,1,11,False,22,0,380,1671411770,1,active,2022-12-19 01:00:00.541507
128,0,0,0,383,0,0,False,0,0,383,86400,0,out_of_service,2022-12-19 01:00:00.541507
129,14,1,2,385,1,3,False,13,0,385,1671412141,1,active,2022-12-19 01:00:00.541507
130,20,1,1,386,1,1,False,60,0,386,1671410224,1,active,2022-12-19 01:00:00.541507
131,3,1,5,387,1,3,False,31,0,387,1671412230,1,active,2022-12-19 01:00:00.541507
132,18,1,2,388,1,3,False,31,0,388,1671411446,1,active,2022-12-19 01:00:00.541507
133,5,1,1,390,1,3,False,41,0,390,1671411939,1,active,2022-12-19 01:00:00.541507
134,38,1,0,391,1,3,False,5,0,391,1671411482,1,active,2022-12-19 01:00:00.541507
135,6,1,0,392,1,3,False,29,0,392,1671407985,1,active,2022-12-19 01:00:00.541507
136,34,1,1,393,1,1,False,20,0,393,1671412111,1,active,2022-12-19 01:00:00.541507
137,27,1,0,394,1,2,False,7,0,394,1671412020,1,active,2022-12-19 01:00:00.541507
138,10,1,2,396,1,6,False,10,1,396,1671411235,1,active,2022-12-19 01:00:00.541507
139,71,1,2,397,1,2,False,2,0,397,1671410305,1,active,2022-12-19 01:00:00.541507
140,2,1,3,398,1,2,False,32,0,398,1671411864,1,active,2022-12-19 01:00:00.541507
141,36,1,0,399,1,1,False,3,0,399,1671411052,1,active,2022-12-19 01:00:00.541507
142,5,1,0,400,1,2,False,10,0,400,1671410504,1,active,2022-12-19 01:00:00.541507
143,1,1,5,401,1,14,False,36,0,401,1671412420,1,active,2022-12-19 01:00:00.541507
144,0,0,0,403,0,0,False,0,0,403,86400,0,out_of_service,2022-12-19 01:00:00.541507
145,1,1,1,405,1,2,False,49,0,405,1671410243,1,active,2022-12-19 01:00:00.541507
146,6,1,1,406,1,1,False,12,0,406,1671410329,1,active,2022-12-19 01:00:00.541507
147,12,1,3,408,1,1,False,30,0,408,1671410621,1,active,2022-12-19 01:00:00.541507
148,45,1,3,410,1,3,False,30,0,410,1671410879,1,active,2022-12-19 01:00:00.541507
149,24,1,1,411,1,1,False,6,0,411,1671412090,1,active,2022-12-19 01:00:00.541507
150,2,1,1,412,1,1,False,23,0,412,1671412349,1,active,2022-12-19 01:00:00.541507
151,0,0,0,415,0,0,False,0,0,415,86400,0,out_of_service,2022-12-19 01:00:00.541507
152,24,1,1,416,1,0,False,1,0,416,1671411178,1,active,2022-12-19 01:00:00.541507
153,2,1,0,417,1,4,False,23,0,417,1671410484,1,active,2022-12-19 01:00:00.541507
154,1,1,0,418,1,0,False,36,0,418,1671411381,1,active,2022-12-19 01:00:00.541507
155,10,1,0,419,1,1,False,13,0,419,1671412116,1,active,2022-12-19 01:00:00.541507
156,47,1,2,420,1,1,False,2,0,420,1671412019,1,active,2022-12-19 01:00:00.541507
157,0,1,10,421,1,2,False,2,7,421,1671412110,1,active,2022-12-19 01:00:00.541507
158,112,1,2,422,1,1,False,3,0,422,1671412318,1,active,2022-12-19 01:00:00.541507
159,37,1,1,423,1,2,False,4,0,423,1671412342,1,active,2022-12-19 01:00:00.541507
160,6,1,3,426,1,2,False,71,0,426,1671412389,1,active,2022-12-19 01:00:00.541507
161,12,1,1,427,1,0,False,56,0,427,1671412377,1,active,2022-12-19 01:00:00.541507
162,10,1,0,428,1,4,False,49,0,428,1671411818,1,active,2022-12-19 01:00:00.541507
163,32,1,0,432,1,5,False,11,0,432,1671412207,1,active,2022-12-19 01:00:00.541507
164,1,1,2,434,1,12,False,56,0,434,1671411508,1,active,2022-12-19 01:00:00.541507
165,3,1,3,435,1,15,False,68,0,435,1671412370,1,active,2022-12-19 01:00:00.541507
166,24,1,1,436,1,0,False,2,0,436,1671410006,1,active,2022-12-19 01:00:00.541507
167,2,1,2,437,1,3,False,19,0,437,1671411965,1,active,2022-12-19 01:00:00.541507
168,1,1,0,438,1,3,False,66,0,438,1671412307,1,active,2022-12-19 01:00:00.541507
169,1,1,2,439,1,4,False,38,0,439,1671410938,1,active,2022-12-19 01:00:00.541507
170,28,1,0,440,1,3,False,4,0,440,1671410029,1,active,2022-12-19 01:00:00.541507
171,15,1,1,442,1,5,False,34,0,442,1671412238,1,active,2022-12-19 01:00:00.541507
172,11,1,3,443,1,1,False,8,0,443,1671411262,1,active,2022-12-19 01:00:00.541507
173,85,1,3,445,1,3,False,17,0,445,1671412360,1,active,2022-12-19 01:00:00.541507
174,27,1,2,446,1,4,False,50,0,446,1671411292,1,active,2022-12-19 01:00:00.541507
175,13,1,1,447,1,8,False,17,0,447,1671412318,1,active,2022-12-19 01:00:00.541507
176,7,1,1,448,1,10,False,18,0,448,1671412273,1,active,2022-12-19 01:00:00.541507
177,52,1,0,450,1,10,False,14,0,450,1671411622,1,active,2022-12-19 01:00:00.541507
178,21,1,5,453,1,15,False,39,0,453,1671411603,1,active,2022-12-19 01:00:00.541507
179,22,1,1,454,1,2,False,11,0,454,1671412179,1,active,2022-12-19 01:00:00.541507
180,55,1,0,455,1,3,False,32,0,455,1671411033,1,active,2022-12-19 01:00:00.541507
181,24,1,1,456,1,0,False,26,0,456,1671410922,1,active,2022-12-19 01:00:00.541507
182,64,1,2,457,1,8,False,13,0,457,1671412392,1,active,2022-12-19 01:00:00.541507
183,15,1,0,458,1,7,False,30,0,458,1671411102,1,active,2022-12-19 01:00:00.541507
184,6,1,1,460,1,5,False,18,0,460,1671412117,1,active,2022-12-19 01:00:00.541507
185,20,1,1,461,1,2,False,35,0,461,1671411879,1,active,2022-12-19 01:00:00.541507
186,4,1,0,462,1,1,False,70,0,462,1671412406,1,active,2022-12-19 01:00:00.541507
187,1,0,0,464,0,0,False,0,0,464,1665166826,0,out_of_service,2022-12-19 01:00:00.541507
188,15,1,2,465,1,7,False,36,0,465,1671411891,1,active,2022-12-19 01:00:00.541507
189,8,1,1,466,1,4,False,24,0,466,1671409305,1,active,2022-12-19 01:00:00.541507
190,68,1,2,468,1,2,False,6,0,468,1671411799,1,active,2022-12-19 01:00:00.541507
191,51,1,1,469,1,14,False,33,0,469,1671409451,1,active,2022-12-19 01:00:00.541507
192,0,1,0,470,1,8,False,84,0,470,1671412306,1,active,2022-12-19 01:00:00.541507
193,11,1,3,471,1,3,False,17,0,471,1671412183,1,active,2022-12-19 01:00:00.541507
194,41,1,3,472,1,4,False,10,0,472,1671412265,1,active,2022-12-19 01:00:00.541507
195,0,1,0,473,1,20,False,64,0,473,1671408076,1,active,2022-12-19 01:00:00.541507
196,7,1,0,474,1,15,False,48,0,474,1671412086,1,active,2022-12-19 01:00:00.541507
197,56,1,0,476,1,5,False,9,0,476,1671412362,1,active,2022-12-19 01:00:00.541507
198,1,1,6,477,1,30,False,58,4,477,1671412158,1,active,2022-12-19 01:00:00.541507
199,36,1,4,478,1,7,False,13,0,478,1671412122,1,active,2022-12-19 01:00:00.541507
200,18,1,3,479,1,8,False,8,0,479,1671412072,1,active,2022-12-19 01:00:00.541507
201,23,1,2,480,1,2,False,4,0,480,1671412360,1,active,2022-12-19 01:00:00.541507
202,13,1,1,481,1,3,False,11,0,481,1671412272,1,active,2022-12-19 01:00:00.541507
203,1,0,1,482,1,2,False,76,0,482,1671372713,0,active,2022-12-19 01:00:00.541507
204,2,1,0,483,1,10,False,67,0,483,1671410729,1,active,2022-12-19 01:00:00.541507
205,43,1,1,484,1,11,False,24,0,484,1671411476,1,active,2022-12-19 01:00:00.541507
206,23,1,1,485,1,2,False,15,0,485,1671411788,1,active,2022-12-19 01:00:00.541507
207,3,1,7,486,1,21,False,31,0,486,1671412193,1,active,2022-12-19 01:00:00.541507
208,21,1,4,489,1,8,False,41,0,489,1671412244,1,active,2022-12-19 01:00:00.541507
209,28,1,1,490,1,44,False,67,0,490,1671412371,1,active,2022-12-19 01:00:00.541507
210,16,1,2,494,1,1,False,48,0,494,1671411759,1,active,2022-12-19 01:00:00.541507
211,35,1,0,495,1,1,False,3,0,495,1671411359,1,active,2022-12-19 01:00:00.541507
212,7,1,4,496,1,1,False,54,0,496,1671412313,1,active,2022-12-19 01:00:00.541507
213,8,1,9,497,1,8,False,48,0,497,1671410937,1,active,2022-12-19 01:00:00.541507
214,42,1,0,500,1,3,False,35,0,500,1671412318,1,active,2022-12-19 01:00:00.541507
215,66,1,2,501,1,3,False,15,0,501,1671412263,1,active,2022-12-19 01:00:00.541507
216,15,1,4,502,1,7,False,16,0,502,1671412225,1,active,2022-12-19 01:00:00.541507
217,9,1,0,503,1,4,False,36,0,503,1671411662,1,active,2022-12-19 01:00:00.541507
218,37,1,3,504,1,3,False,14,0,504,1671412374,1,active,2022-12-19 01:00:00.541507
219,9,1,4,505,1,6,False,35,0,505,1671412242,1,active,2022-12-19 01:00:00.541507
220,72,1,1,507,1,4,False,6,0,507,1671411453,1,active,2022-12-19 01:00:00.541507
221,19,1,1,508,1,3,False,4,0,508,1671412167,1,active,2022-12-19 01:00:00.541507
222,0,1,8,509,1,8,False,51,0,509,1671411381,1,active,2022-12-19 01:00:00.541507
223,24,1,2,510,1,20,False,53,0,510,1671412165,1,active,2022-12-19 01:00:00.541507
224,35,1,0,511,1,5,False,8,0,511,1671411901,1,active,2022-12-19 01:00:00.541507
225,8,1,1,512,1,3,False,20,0,512,1671412196,1,active,2022-12-19 01:00:00.541507
226,39,1,0,513,1,3,False,3,0,513,1671412170,1,active,2022-12-19 01:00:00.541507
227,24,1,3,514,1,9,False,21,0,514,1671412351,1,active,2022-12-19 01:00:00.541507
228,71,1,0,515,1,0,False,7,0,515,1671412149,1,active,2022-12-19 01:00:00.541507
229,13,1,1,516,1,2,False,33,0,516,1671411844,1,active,2022-12-19 01:00:00.541507
230,49,1,2,522,1,2,False,23,0,522,1671412347,1,active,2022-12-19 01:00:00.541507
231,25,1,4,525,1,1,False,30,0,525,1671412197,1,active,2022-12-19 01:00:00.541507
232,18,1,1,526,1,3,False,20,0,526,1671412289,1,active,2022-12-19 01:00:00.541507
233,23,1,3,528,1,3,False,10,0,528,1671412332,1,active,2022-12-19 01:00:00.541507
234,6,1,4,529,1,6,False,28,0,529,1671412258,1,active,2022-12-19 01:00:00.541507
235,15,1,2,530,1,1,False,5,0,530,1671412403,1,active,2022-12-19 01:00:00.541507
236,3,1,0,531,1,19,False,63,0,531,1671411369,1,active,2022-12-19 01:00:00.541507
237,13,1,4,532,1,3,False,25,0,532,1671408997,1,active,2022-12-19 01:00:00.541507
