,eightd_has_available_keys,last_reported,num_docks_available,num_ebikes_available,is_installed,num_bikes_disabled,station_status,legacy_id,is_returning,num_docks_disabled,is_renting,num_bikes_available,station_id,last_update
141,False,1672016237,34,2,1,0,active,399,1,0,1,5,399,2022-12-26 01:15:06.645988
142,False,1672000615,10,0,1,0,active,400,1,0,1,4,400,2022-12-26 01:15:06.645988
143,False,1672015292,11,2,1,5,active,401,1,0,1,25,401,2022-12-26 01:15:06.645988
144,False,86400,0,0,0,0,out_of_service,403,0,0,0,0,403,2022-12-26 01:15:06.645988
145,False,1672015834,0,13,1,1,active,405,1,0,1,49,405,2022-12-26 01:15:06.645988
146,False,1672013280,12,1,1,1,active,406,1,0,1,7,406,2022-12-26 01:15:06.645988
147,False,1672006848,7,1,1,2,active,408,1,0,1,35,408,2022-12-26 01:15:06.645988
148,False,1672013421,69,2,1,4,active,410,1,0,1,6,410,2022-12-26 01:15:06.645988
149,False,1672015270,18,2,1,1,active,411,1,0,1,9,411,2022-12-26 01:15:06.645988
150,False,1672012870,6,7,1,2,active,412,1,0,1,12,412,2022-12-26 01:15:06.645988
151,False,86400,0,0,0,0,out_of_service,415,0,0,0,0,415,2022-12-26 01:15:06.645988
152,False,1672010540,23,1,1,0,active,416,0,0,0,4,416,2022-12-26 01:15:06.645988
153,False,1671965897,1,1,1,0,active,417,1,0,1,24,417,2022-12-26 01:15:06.645988
154,False,1672005186,2,2,1,2,active,418,1,0,1,33,418,2022-12-26 01:15:06.645988
155,False,1672005187,7,0,1,2,active,419,1,0,1,14,419,2022-12-26 01:15:06.645988
156,False,1672016212,21,11,1,1,active,420,1,0,1,25,420,2022-12-26 01:15:06.645988
157,False,1672017132,0,1,1,12,active,421,1,5,1,1,421,2022-12-26 01:15:06.645988
158,False,1672016020,105,2,1,2,active,422,1,0,1,10,422,2022-12-26 01:15:06.645988
159,False,1672012555,33,4,1,1,active,423,1,0,1,9,423,2022-12-26 01:15:06.645988
160,False,1671953605,12,6,1,5,active,426,0,0,0,64,426,2022-12-26 01:15:06.645988
161,False,1672002308,0,0,1,0,active,427,1,0,1,69,427,2022-12-26 01:15:06.645988
162,False,1672015175,10,7,1,2,active,428,1,0,1,47,428,2022-12-26 01:15:06.645988
163,False,1672010962,25,2,1,3,active,432,1,0,1,17,432,2022-12-26 01:15:06.645988
164,False,1672017379,4,4,1,5,active,434,1,0,1,48,434,2022-12-26 01:15:06.645988
165,False,1672013577,17,1,1,1,active,435,1,0,1,54,435,2022-12-26 01:15:06.645988
166,False,1672008054,25,0,1,2,active,436,1,0,1,0,436,2022-12-26 01:15:06.645988
167,False,1671899149,5,0,1,4,active,437,0,0,0,14,437,2022-12-26 01:15:06.645988
168,False,1672016181,10,0,1,7,active,438,1,0,1,52,438,2022-12-26 01:15:06.645988
169,False,1671852706,14,5,1,0,active,439,0,0,0,27,439,2022-12-26 01:15:06.645988
170,False,1672017383,27,2,1,0,active,440,1,0,1,5,440,2022-12-26 01:15:06.645988
171,False,1672011926,13,6,1,0,active,442,1,0,1,33,442,2022-12-26 01:15:06.645988
172,False,1672014728,10,2,1,0,active,443,1,0,1,13,443,2022-12-26 01:15:06.645988
173,False,1672014162,71,3,1,4,active,445,1,0,1,31,445,2022-12-26 01:15:06.645988
174,False,1672014159,20,8,1,4,active,446,1,0,1,52,446,2022-12-26 01:15:06.645988
175,False,1672014299,15,4,1,0,active,447,1,0,1,14,447,2022-12-26 01:15:06.645988
176,False,1672015275,15,3,1,5,active,448,1,0,1,5,448,2022-12-26 01:15:06.645988
177,False,1672014395,49,4,1,1,active,450,1,0,1,15,450,2022-12-26 01:15:06.645988
178,False,1672014270,8,2,1,2,active,453,1,0,1,55,453,2022-12-26 01:15:06.645988
179,False,1672016006,27,4,1,1,active,454,1,0,1,5,454,2022-12-26 01:15:06.645988
180,False,1672012574,62,0,1,5,active,455,1,0,1,20,455,2022-12-26 01:15:06.645988
181,False,1672010472,37,0,1,1,active,456,1,0,1,10,456,2022-12-26 01:15:06.645988
182,False,1672014960,34,20,1,2,active,457,1,0,1,37,457,2022-12-26 01:15:06.645988
183,False,1672016343,17,0,1,3,active,458,1,0,1,25,458,2022-12-26 01:15:06.645988
184,False,1672010451,10,3,1,4,active,460,1,0,1,11,460,2022-12-26 01:15:06.645988
185,False,1672011961,24,3,1,1,active,461,1,0,1,31,461,2022-12-26 01:15:06.645988
186,False,1672013679,7,0,1,3,active,462,1,0,1,67,462,2022-12-26 01:15:06.645988
187,False,1665166826,1,0,0,0,out_of_service,464,0,0,0,0,464,2022-12-26 01:15:06.645988
188,False,1672013722,19,20,1,1,active,465,1,0,1,35,465,2022-12-26 01:15:06.645988
189,False,1672015867,5,4,1,1,active,466,1,0,1,29,466,2022-12-26 01:15:06.645988
190,False,1672011400,63,1,1,1,active,468,1,0,1,15,468,2022-12-26 01:15:06.645988
191,False,1672015735,62,6,1,0,active,469,1,0,1,22,469,2022-12-26 01:15:06.645988
192,False,1672016698,11,3,1,2,active,470,1,0,1,71,470,2022-12-26 01:15:06.645988
193,False,1672016814,2,4,1,3,active,471,1,0,1,26,471,2022-12-26 01:15:06.645988
194,False,1672009867,48,2,1,1,active,472,1,0,1,6,472,2022-12-26 01:15:06.645988
195,False,1672013769,6,5,1,2,active,473,1,0,1,55,473,2022-12-26 01:15:06.645988
196,False,1672012995,2,11,1,1,active,474,1,0,1,52,474,2022-12-26 01:15:06.645988
