,is_renting,num_bikes_disabled,legacy_id,num_bikes_available,is_installed,num_docks_disabled,station_status,station_id,num_ebikes_available,last_reported,eightd_has_available_keys,is_returning,num_docks_available,last_update,num_scooters_available,num_scooters_unavailable
206,1,2,4576,0,1,0,active,f681f980-185d-45b9-8490-bb2606624dd4,0,1690680125,False,1,17,2023-07-30 01:15:08.977683,0.0,0.0
207,1,2,4014,1,1,0,active,4f814d78-5d8d-458b-877e-2ca449b865be,1,1690680132,False,1,19,2023-07-30 01:15:08.977683,0.0,0.0
208,1,0,1815968237323833702,7,1,0,active,1815968237323833702,1,1690680133,False,1,14,2023-07-30 01:15:08.977683,0.0,0.0
209,1,5,4493,5,1,0,active,f9ed9a6b-097e-48b9-a9d1-79d084dcd2d9,2,1690680133,False,1,8,2023-07-30 01:15:08.977683,0.0,0.0
210,1,0,4456,15,1,0,active,3d68a3fd-91da-49e8-9cd5-69b333863789,0,1690680133,False,1,6,2023-07-30 01:15:08.977683,0.0,0.0
211,1,2,4202,9,1,0,active,a2ef8ed2-6031-4049-b7dc-9838ef39889b,0,1690680133,False,1,7,2023-07-30 01:15:08.977683,0.0,0.0
212,1,0,341,18,1,0,active,66db9e99-0aca-11e7-82f6-3863bb44ef7c,4,1690680133,False,1,1,2023-07-30 01:15:08.977683,0.0,0.0
213,1,0,4915,1,1,0,active,475c44e1-31e3-4c60-b071-af2ca3f7618c,0,1690680132,False,1,21,2023-07-30 01:15:08.977683,0.0,0.0
214,1,1,3907,9,1,0,active,75352ab4-8a31-4926-8b59-048a9e506452,4,1690680132,False,1,6,2023-07-30 01:15:08.977683,0.0,0.0
215,1,12,4047,0,1,0,active,26217b73-7bb5-46e6-8094-1db05becd617,0,1690680127,False,1,15,2023-07-30 01:15:08.977683,0.0,0.0
216,1,2,3060,13,1,0,active,66dcc8b3-0aca-11e7-82f6-3863bb44ef7c,2,1690680127,False,1,3,2023-07-30 01:15:08.977683,0.0,0.0
217,1,3,3370,17,1,0,active,66de2274-0aca-11e7-82f6-3863bb44ef7c,2,1690680128,False,1,4,2023-07-30 01:15:08.977683,0.0,0.0
218,1,3,3737,20,1,0,active,9394fb49-583f-4426-8d2f-a2b0ffb584d2,10,1690680128,False,1,25,2023-07-30 01:15:08.977683,0.0,0.0
219,1,2,4395,3,1,0,active,0bd9bd58-42e6-4680-9d19-83943372221f,0,1690680128,False,1,17,2023-07-30 01:15:08.977683,0.0,0.0
220,1,2,3109,29,1,0,active,66dd1d0f-0aca-11e7-82f6-3863bb44ef7c,3,1690680128,False,1,0,2023-07-30 01:15:08.977683,0.0,0.0
221,1,1,4062,7,1,0,active,18a2cbb6-91f2-4393-82fb-b40a8ba90f20,4,1690680128,False,1,14,2023-07-30 01:15:08.977683,0.0,0.0
222,1,3,3905,13,1,0,active,0f45bcf6-7028-4584-a51e-4129847dbebc,1,1690680129,False,1,23,2023-07-30 01:15:08.977683,0.0,0.0
223,1,7,4156,1,1,0,active,bf880f45-422c-4e0b-b3b0-2b1f5ba94da4,1,1690680129,False,1,11,2023-07-30 01:15:08.977683,0.0,0.0
224,1,1,3978,7,1,0,active,493850bd-125b-49f5-932b-bf999504fb06,1,1690680129,False,1,9,2023-07-30 01:15:08.977683,0.0,0.0
225,1,1,3430,5,1,0,active,66de73fd-0aca-11e7-82f6-3863bb44ef7c,3,1690680130,False,1,18,2023-07-30 01:15:08.977683,0.0,0.0
226,1,1,4169,10,1,0,active,b4b5824b-3c23-44b7-92a3-cec6a54583a0,1,1690680130,False,1,10,2023-07-30 01:15:08.977683,0.0,0.0
227,1,3,3100,8,1,0,active,66dd17a5-0aca-11e7-82f6-3863bb44ef7c,3,1690680131,False,1,39,2023-07-30 01:15:08.977683,0.0,0.0
228,1,2,4141,18,1,0,active,8a89684b-40a5-49fe-b75d-fdf32ffa8102,3,1690680131,False,1,0,2023-07-30 01:15:08.977683,0.0,0.0
229,1,1,4346,12,1,0,active,5526b855-dc09-4159-a20a-99651861a481,3,1690680131,False,1,12,2023-07-30 01:15:08.977683,0.0,0.0
230,1,0,3757,21,1,0,active,ab6aadd8-fa45-43aa-abea-c8e01ec5a0c8,4,1690680131,False,1,2,2023-07-30 01:15:08.977683,0.0,0.0
