,last_reported,num_ebikes_available,legacy_id,num_docks_available,eightd_has_available_keys,num_bikes_available,is_installed,station_id,num_docks_disabled,is_returning,is_renting,station_status,num_bikes_disabled,last_update,eightd_active_station_services,valet
560,1671584028,2,3459,24,False,14,1,3459,0,1,1,active,2,2022-12-21 01:00:54.934804,,
561,1671585094,2,3461,7,False,25,1,3461,0,1,1,active,1,2022-12-21 01:00:54.934804,,
562,1671584243,0,3462,34,False,3,1,3462,0,1,1,active,0,2022-12-21 01:00:54.934804,,
563,1671585137,11,3463,5,False,73,1,3463,0,1,1,active,1,2022-12-21 01:00:54.934804,,
564,1671584031,4,3464,10,False,42,1,3464,0,1,1,active,3,2022-12-21 01:00:54.934804,,
565,1671583456,3,3467,2,False,41,1,3467,0,1,1,active,2,2022-12-21 01:00:54.934804,,
566,1671585053,3,3472,1,False,33,1,3472,0,1,1,active,4,2022-12-21 01:00:54.934804,,
567,1671580254,2,3478,3,False,38,1,3478,0,1,1,active,2,2022-12-21 01:00:54.934804,,
568,1671554346,0,3479,6,False,33,1,3479,0,1,1,active,5,2022-12-21 01:00:54.934804,,
569,1671579645,0,3483,11,False,3,1,3483,0,1,1,active,0,2022-12-21 01:00:54.934804,,
570,1671583272,0,3490,23,False,6,1,3490,0,1,1,active,1,2022-12-21 01:00:54.934804,,
571,1671583548,2,3491,15,False,7,1,3491,0,1,1,active,0,2022-12-21 01:00:54.934804,,
572,1671584002,1,3492,24,False,3,1,3492,0,1,1,active,0,2022-12-21 01:00:54.934804,,
573,1671583186,1,3493,29,False,2,1,3493,0,1,1,active,0,2022-12-21 01:00:54.934804,,
574,1671582721,2,3494,15,False,9,1,3494,0,1,1,active,1,2022-12-21 01:00:54.934804,,
575,1671583346,1,3495,21,False,4,1,3495,0,1,1,active,0,2022-12-21 01:00:54.934804,,
576,1671583138,0,3496,13,False,7,1,3496,0,1,1,active,4,2022-12-21 01:00:54.934804,,
577,1671584176,2,3497,10,False,11,1,3497,0,1,1,active,2,2022-12-21 01:00:54.934804,,
578,1671581401,2,3498,11,False,7,1,3498,0,1,1,active,1,2022-12-21 01:00:54.934804,,
579,1671585133,1,3499,17,False,7,1,3499,0,1,1,active,1,2022-12-21 01:00:54.934804,,
580,1671580760,0,3500,22,False,9,1,3500,0,1,1,active,0,2022-12-21 01:00:54.934804,,
581,1671583603,3,3501,22,False,7,1,3501,0,1,1,active,0,2022-12-21 01:00:54.934804,,
582,1671584568,3,3502,20,False,8,1,3502,0,1,1,active,0,2022-12-21 01:00:54.934804,,
583,1671580636,1,3503,23,False,7,1,3503,0,1,1,active,0,2022-12-21 01:00:54.934804,,
584,1671583636,0,3504,20,False,4,1,3504,0,1,1,active,2,2022-12-21 01:00:54.934804,,
585,1671583727,1,3505,10,False,19,1,3505,0,1,1,active,3,2022-12-21 01:00:54.934804,,
586,1671584147,3,3506,21,False,8,1,3506,0,1,1,active,0,2022-12-21 01:00:54.934804,,
587,1671583287,0,3507,25,False,9,1,3507,0,1,1,active,1,2022-12-21 01:00:54.934804,,
588,1671584274,5,3508,22,False,8,1,3508,0,1,1,active,0,2022-12-21 01:00:54.934804,,
589,1671584864,2,3509,26,False,2,1,3509,0,1,1,active,1,2022-12-21 01:00:54.934804,,
590,1671583587,0,3510,23,False,8,1,3510,0,1,1,active,0,2022-12-21 01:00:54.934804,,
591,1671584823,2,3511,11,False,10,1,3511,0,1,1,active,0,2022-12-21 01:00:54.934804,,
592,1671583979,1,3513,30,False,2,1,3513,0,1,1,active,1,2022-12-21 01:00:54.934804,,
593,1671584856,2,3514,30,False,2,1,3514,0,1,1,active,0,2022-12-21 01:00:54.934804,,
594,1671578902,0,3515,19,False,0,1,3515,0,1,1,active,0,2022-12-21 01:00:54.934804,,
