,is_renting,num_bikes_available,is_installed,num_bikes_disabled,is_returning,last_reported,station_id,num_docks_available,legacy_id,station_status,num_docks_disabled,eightd_has_available_keys,num_ebikes_available,last_update
915,1,2,1,0,1,1671841095,3942,18,3942,active,0,False,1,2022-12-24 01:00:30.434515
916,1,7,1,1,1,1671836073,3944,18,3944,active,0,False,7,2022-12-24 01:00:30.434515
917,1,2,1,0,1,1671841312,3945,18,3945,active,0,False,1,2022-12-24 01:00:30.434515
918,1,3,1,1,1,1671840541,3946,17,3946,active,0,False,2,2022-12-24 01:00:30.434515
919,1,10,1,0,1,1671832563,3947,8,3947,active,0,False,0,2022-12-24 01:00:30.434515
920,1,11,1,0,1,1671826855,3948,11,3948,active,0,False,0,2022-12-24 01:00:30.434515
921,1,10,1,0,1,1671831684,3949,12,3949,active,0,False,0,2022-12-24 01:00:30.434515
922,1,14,1,0,1,1671829403,3950,5,3950,active,0,False,2,2022-12-24 01:00:30.434515
923,1,9,1,0,1,1671843747,3951,10,3951,active,0,False,3,2022-12-24 01:00:30.434515
924,1,17,1,0,1,1671821993,3952,2,3952,active,0,False,1,2022-12-24 01:00:30.434515
925,1,3,1,1,1,1671844139,3953,20,3953,active,0,False,1,2022-12-24 01:00:30.434515
926,1,9,1,0,1,1671828928,3955,10,3955,active,0,False,1,2022-12-24 01:00:30.434515
927,1,14,1,0,1,1671832525,3956,9,3956,active,0,False,1,2022-12-24 01:00:30.434515
928,1,16,1,0,1,1671831284,3957,3,3957,active,0,False,0,2022-12-24 01:00:30.434515
929,1,12,1,2,1,1671839919,3958,9,3958,active,0,False,5,2022-12-24 01:00:30.434515
930,1,1,1,5,1,1671837993,3959,24,3959,active,0,False,0,2022-12-24 01:00:30.434515
931,1,1,1,0,1,1671842338,3960,20,3960,active,0,False,1,2022-12-24 01:00:30.434515
932,1,11,1,0,1,1671839386,3961,8,3961,active,0,False,1,2022-12-24 01:00:30.434515
933,1,6,1,0,1,1671842243,3963,25,3963,active,0,False,0,2022-12-24 01:00:30.434515
934,1,4,1,0,1,1671838907,3964,16,3964,active,0,False,0,2022-12-24 01:00:30.434515
